"trial_type","trial_index","time_elapsed","internal_node_id","format","success","rt","response","accuracy","subject_id","stimulus","question_order","understand_correct","inputvalue","correctAnswer","correct","correctCount","error","br","hr","far","n_trial","brr","hrr","farr","checkBR","checkHR","checkFAR","checkresponse","checkcorrect","reward","pay_1","pay_15"
"pavlovia","0","578","0.0-0.0","probability","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","31589","0.0-1.0","probability","true","30004","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey","2","44614","0.0-2.0","probability","","12776","{""P0_Q0"":null,""cc11"":""I have confirmed 64135c8f96a690f5b4c16dba is my ID""}","[]","64135c8f96a690f5b4c16dba","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","3","46320","0.0-3.0","probability","","1706"," ","","","Welcome to the experiment. Press <strong>Space</strong> to begin.","","","","","","","","","","","","","","","","","","","","","",""
"survey-html-form","4","112017","0.0-4.0","probability","","65695","{""consent"":""consent""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","158396","0.0-5.0","probability","","46379"," ","","","<div style=""text-align: center;"">
      <strong>Welcome to the experiment!</strong><br><br>
      In this experiment, you will be presented with a series of <strong>55 probability reasoning problems</strong>.<br> 
      These probability reasoning problems are all under the <strong>same scenario</strong>.<br>
      Each trial comes with its <strong>specific set of information</strong> for you to consider.<br> 
      Your task is to find a solution based on your <strong>intuition</strong>.<br><br>
      When making a decision, please enter your estimate in percentage (%).<br>
      Please rely solely on your <strong>intuition</strong> and refrain from using calculators.<br><br>
      At the end of the experiment, one of your responses will be <strong>selected at random</strong>.<br> 
      Your <strong>potential bonus</strong> will be determined by the <strong>accuracy of this chosen response</strong>.<br> 
      Accuracy is assessed as follows:<br>
      If your response is within <strong>3%</strong> of the correct answer, you will earn a bonus of <strong>£1</strong>.<br>
      Additionally, if your response is <strong>exactly the same as the correct answer</strong>, you will receive an extra bonus of <strong>£0.5</strong>.<br>
      Responses that do not meet these criteria will not receive a bonus.<br><br>
      Press <strong>Space</strong> to continue.
      </div>","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","6","216061","0.0-6.0-0.0","probability","","56646","{""check1"":""Yes, each task has a correct answer."",""check2"":""Based on the accuracy of one randomly chosen response. If it is within 3% of the correct answer, I will receive a bonus.""}","","","","[0,1]","true","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","218896","0.0-7.0","probability","","2832"," ","","","Fantastic! Press <strong>Space</strong> to get started!","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","311987","0.0-8.0-0.0-0.0","probability","","93089","enter","","","<div style='text-align: left;'><p>To determine whether an unborn child has a specific genetic disease, doctors sometimes use a genetic test. <br>Here is some information about that genetic test:</p><ul><li>The probability that <strong>a woman is pregnant with a child who has this genetic disease is 1%</strong>.</li><li>When a woman is pregnant with a child that <strong>has this genetic disease</strong>, the probability that she will have a <strong>positive result</strong> on the genetic test is <strong>53%</strong>.</li><li>When a woman is pregnant with a child that <strong>does not have this genetic disease</strong>, the probability that she will have a <strong>positive result</strong> on the genetic test is <strong>31%</strong>.</li></ul><p>A pregnant woman has a positive result on the genetic test.</p></div><div style='text-align: center;'>Please estimate the probability that the <strong>positive test result</strong> means that her child <strong>has this genetic disease</strong>.<br><small><strong><em>(Reminder: Please enter a number between 0 and 100, or you will remain on this page.)</em></strong></small><p>The probability is <input type=""text""  id=""numeric_input"" oninput=""getvalue()"" size=""8""/>% </p><p>Press <strong>Enter</strong> to continue</p></div>","","","16","2","false","0","14","0.01","0.53","0.31","0","","","","","","","","","","",""
"html-keyboard-response","9","312495","0.0-8.0-1.0","probability","","null","null","","","<div style=""font-size: 48px;"">+</div>","","","","","","","","","","","","","","","","","","","","","",""
